"GeneSet_Database"	"GeneSet_Category"	"GeneSet_Sub_Category"	"GeneSet_Name"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_HEME_METABOLISM"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_HYPOXIA"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_IL2_STAT5_SIGNALING"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_IL6_JAK_STAT3_SIGNALING"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_INFLAMMATORY_RESPONSE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_INTERFERON_ALPHA_RESPONSE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_INTERFERON_GAMMA_RESPONSE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_KRAS_SIGNALING_DN"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_KRAS_SIGNALING_UP"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_MITOTIC_SPINDLE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_MTORC1_SIGNALING"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_MYC_TARGETS_V1"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_MYC_TARGETS_V2"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_MYOGENESIS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_NOTCH_SIGNALING"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_OXIDATIVE_PHOSPHORYLATION"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_P53_PATHWAY"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_PANCREAS_BETA_CELLS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_PEROXISOME"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_PI3K_AKT_MTOR_SIGNALING"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_PROTEIN_SECRETION"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_SPERMATOGENESIS"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_TGF_BETA_SIGNALING"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_UV_RESPONSE_DN"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_UV_RESPONSE_UP"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"MSigDB"	"H: Hallmark Gene Sets"	"H: Hallmark Gene Sets"	"HALLMARK_XENOBIOTIC_METABOLISM"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10p14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10p15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr10q26"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11p14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11q14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr11q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr12q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr13q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr13q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr13q14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr13q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr13q31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr13q32"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr13q33"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr14q32"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr15q26"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr16q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr17q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr18p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr18q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr18q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr18q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr18q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr18q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr19p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr19p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr19q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p32"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p33"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p34"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p35"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1p36"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q32"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q41"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q42"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr1q43"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr20p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr20p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr20p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr20q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr20q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr20q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr21p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr21p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr21q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr21q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr21q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr22q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr22q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr22q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p16"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2p25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q32"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q33"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q34"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q35"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr2q36"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3p26"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q26"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q27"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q28"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr3q29"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4p14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4p15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4p16"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q26"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q27"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q32"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q33"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr4q35"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5p14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5p15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q33"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q34"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr5q35"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6p21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6p22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6p23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6p24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6p25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q16"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q23"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q24"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q25"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q26"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr6q27"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7p11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7p12"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7p13"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7p14"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7p15"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7p21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7p22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7q11"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7q21"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7q22"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7q31"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7q32"
"MSigDB"	"C1: Positional Gene Sets"	"C1: Positional Gene Sets"	"chr7q33"
